dataset,category,mode,n_seeds,metric,mean,std,min,max
mvtec,transistor,k2,5,Pixel PRO,0.7806,0.0721,0.6639,0.8695
mvtec,transistor,k4,5,Image AUROC,0.9623,0.0071,0.9537,0.9750
mvtec,transistor,k4,5,Image AP,0.9510,0.0107,0.9367,0.9692
mvtec,transistor,k4,5,Image F1,0.8888,0.0145,0.8736,0.9114
mvtec,transistor,k4,5,Pixel AUROC,0.9640,0.0128,0.9476,0.9790
mvtec,transistor,k4,5,Pixel AP,0.7075,0.0400,0.6511,0.7565
mvtec,transistor,k4,5,Pixel F1,0.6441,0.0263,0.6078,0.6798
mvtec,transistor,k4,5,Pixel PRO,0.8079,0.0440,0.7336,0.8538
mvtec,wood,k1,4,Image AUROC,0.9934,0.0038,0.9886,0.9991
mvtec,wood,k1,4,Image AP,0.9980,0.0011,0.9967,0.9997
mvtec,wood,k1,4,Image F1,0.9792,0.0072,0.9748,0.9917
mvtec,wood,k1,4,Pixel AUROC,0.9198,0.0188,0.8882,0.9370
mvtec,wood,k1,4,Pixel AP,0.5809,0.0528,0.5030,0.6507
mvtec,wood,k1,4,Pixel F1,0.5565,0.0401,0.4975,0.6078
mvtec,wood,k1,4,Pixel PRO,0.8409,0.0364,0.7876,0.8895
mvtec,wood,k2,4,Image AUROC,0.9935,0.0022,0.9904,0.9965
mvtec,wood,k2,4,Image AP,0.9980,0.0007,0.9970,0.9989
mvtec,wood,k2,4,Image F1,0.9834,0.0001,0.9833,0.9836
mvtec,wood,k2,4,Pixel AUROC,0.9431,0.0105,0.9305,0.9561
mvtec,wood,k2,4,Pixel AP,0.6560,0.0346,0.6073,0.6958
mvtec,wood,k2,4,Pixel F1,0.6139,0.0233,0.5784,0.6402
mvtec,wood,k2,4,Pixel PRO,0.8906,0.0088,0.8777,0.8995
mvtec,wood,k4,5,Image AUROC,0.9916,0.0017,0.9895,0.9930
mvtec,wood,k4,5,Image AP,0.9974,0.0006,0.9965,0.9979
mvtec,wood,k4,5,Image F1,0.9800,0.0040,0.9752,0.9836
mvtec,wood,k4,5,Pixel AUROC,0.9386,0.0229,0.9101,0.9615
